,Time [],Temperature [C],N2O_2 [gN/h],O2_2 [mgO_2/m^3],Inflow_2 [l/s]
12539,12-Apr-2016 08:15:00,14.0,0.104918706511183,2.24,6.66666666666667
12540,12-Apr-2016 08:30:00,14.0066666666667,0.103270166437358,1.99333333333333,7.33333333333333
12541,12-Apr-2016 08:45:00,14.02,0.101275832652665,2.16666666666667,6.06666666666667
12542,12-Apr-2016 09:00:00,14.05625,0.103891563099897,2.31875,5.8125
12543,12-Apr-2016 09:15:00,14.04,0.0996411903892086,2.46,6.6
12544,12-Apr-2016 09:30:00,14.0785714285714,0.0926268515858576,2.3,6.5
12545,12-Apr-2016 09:45:00,14.1,0.0926396648397404,1.87333333333333,5.6
12546,12-Apr-2016 10:00:00,14.0933333333333,0.0985592106325692,1.98666666666667,6.53333333333333
12547,12-Apr-2016 10:15:00,14.1,0.0964273813599661,2.32666666666667,6.93333333333333
12548,12-Apr-2016 10:30:00,14.125,0.097917186493352,2.6625,5.875
12549,12-Apr-2016 10:45:00,14.1466666666667,0.089023357422174,2.85333333333333,6.0
12550,12-Apr-2016 11:00:00,14.1571428571429,0.0770952158930905,2.64285714285714,5.21428571428571
12551,12-Apr-2016 11:15:00,14.2,0.0754198555246494,2.18,6.66666666666667
12552,12-Apr-2016 11:30:00,14.2,0.0826289942992634,2.22,7.66666666666667
12553,12-Apr-2016 11:45:00,14.28,0.0847604121160161,2.58,11.7333333333333
12554,12-Apr-2016 12:00:00,14.2875,0.0792297733813464,2.90625,10.5625
12555,12-Apr-2016 12:15:00,14.3,0.0689434679084538,2.71333333333333,13.7333333333333
12556,12-Apr-2016 12:30:00,14.3,0.0661144403930123,2.22142857142857,8.64285714285714
12557,12-Apr-2016 12:45:00,14.3,0.0751486641434709,2.04,8.53333333333333
12558,12-Apr-2016 13:00:00,14.34,0.0853027561770479,2.43333333333333,12.0666666666667
12559,12-Apr-2016 13:15:00,14.4,0.0825619946997328,3.05333333333333,11.6666666666667
12560,12-Apr-2016 13:30:00,14.4,0.0651960269370997,2.8625,13.1875
12561,12-Apr-2016 13:45:00,14.4,0.0648455418592453,2.24,11.4
12562,12-Apr-2016 14:00:00,14.4,0.0754498053768149,1.84285714285714,10.1428571428571
12563,12-Apr-2016 14:15:00,14.46,0.089610963947468,2.24666666666667,8.46666666666667
12564,12-Apr-2016 14:30:00,14.5,0.0867146177048821,3.06,8.06666666666667
12565,12-Apr-2016 14:45:00,14.5,0.063594664725708,3.24666666666667,3.93333333333333
12566,12-Apr-2016 15:00:00,14.5125,0.050432566028993,2.4,5.625
12567,12-Apr-2016 15:15:00,14.5933333333333,0.062750539988961,1.59333333333333,6.13333333333333
