,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ãƒâ€šÃ‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5,percent_change,modified
76,03/04/2018 20:40,1.787604,148.3714,2.203861,4.012047,0.0,3.549098,2.40688,1774.886,6.099999,12.5,6.938219,17.73547,1.685358,5.0,1.89066,2.77533,3.317312,3.717744,1.366128,0.0,0.0
77,03/04/2018 21:00,1.176004,96.08048,0.9997358,4.345254,0.0,3.55,2.785284,1333.781,6.099999,12.5,6.899861,17.68214,0.13138844824013818,5.0,1.685358,1.89066,2.77533,3.317312,3.717744,-0.8862652345789815,1.0
78,03/04/2018 21:20,1.117118,94.81775,0.4799361,4.690219,0.0,3.53148,3.137552,1018.31,6.099999,12.5,6.890473,17.46261,0.8462139,5.0,1.155218,1.685358,1.89066,2.77533,3.317312,0.0,0.0
79,03/04/2018 21:40,1.810944,163.8069,0.4395031,4.986912,0.0,3.525648,3.976161,1018.31,6.099999,12.5,6.911405,17.76157,0.7855715,5.0,0.8462139,1.155218,1.685358,1.89066,2.77533,0.0,0.0
80,03/04/2018 22:00,0.1786416,13.30295,0.3829883,5.330041,0.0,3.467321,3.460912,124.1688,6.099999,12.5,6.925052,19.90912,0.14347283847562495,5.0,0.7855715,0.8462139,1.155218,1.685358,1.89066,0.9475973837203376,1.0
81,04/04/2018 00:40,281.6779,29105.12,1.224169,4.757258,0.0216625,0.4852145,0.4852425,129.9975,4.741856,12.47143,6.957025,20.34964,0.1133909,5.0,0.07366658,0.7855715,0.8462139,1.155218,1.685358,0.0,0.0
82,04/04/2018 01:00,100.0197,10377.79,7.190241,2.898581,0.0,3.678946,1.774773,3070.523,5.20042,12.5,7.111068,19.20321,4.153209,5.0,0.1133909,0.07366658,0.7855715,0.8462139,1.155218,0.0,0.0
83,04/04/2018 01:20,119.9828,12350.83,5.256122,3.19747,0.0,3.673394,1.907461,2523.282,5.551982,12.5,7.017733,18.53406,3.374242,5.0,4.153209,0.1133909,0.07366658,0.7855715,0.8462139,0.0,0.0
84,04/04/2018 01:40,13.14884,1343.584,4.112494,3.478329,0.0,3.643569,2.173709,2522.953,5.699792,12.5,7.017375,18.19969,2.940067,5.0,3.374242,4.153209,0.1133909,0.07366658,0.7855715,0.0,0.0
85,04/04/2018 02:00,0.130362,10.32459,1.744901,3.862144,0.0,3.715846,2.5134,1768.787,5.68904,12.58817,6.974084,18.14606,1.795897,5.0,2.940067,3.374242,4.153209,0.1133909,0.07366658,0.0,0.0
