,Time [-],inflow [l/s],NH4_load [gN/h],NH4 [gN/m3],NO3 [gN/m3],NO2 [gN/m3],TS [g/l],DO [gO2/l],airflow [m3/h],level [m],temp [Ã‚Â°C],pH [-],O2_Offgas [%],N2O [kgN/h],tank_nr,N2O [kgN/h]_delay_1,N2O [kgN/h]_delay_2,N2O [kgN/h]_delay_3,N2O [kgN/h]_delay_4,N2O [kgN/h]_delay_5
39,03/04/2018 00:20,96.7825,9517.662,0.03223585,6.50882,0.0,4.016716,2.429262,662.2023,4.055882,12.4,6.790704,17.58584,0.02293728,4.0,0.01483379,0.002807782,0.06241315,0.1285818,0.1368381
40,03/04/2018 00:40,209.9729,20512.0,1.461694,5.960799,0.0,3.97671,0.9278327,2298.77,4.655536,12.4247,6.840287,19.25347,0.02707196,4.0,0.02293728,0.01483379,0.002807782,0.06241315,0.1285818
41,03/04/2018 01:00,117.1008,11196.94,2.116877,5.873183,0.0,3.727656,1.760942,3148.006,5.056912,12.5,6.86,17.95673,0.06902406,4.0,0.02707196,0.02293728,0.01483379,0.002807782,0.06241315
42,03/04/2018 01:20,88.45953,8301.768,1.639201,6.491669,0.0,3.426896,1.898782,2879.913,5.389826,12.5,6.86,16.79501,0.1139387,4.0,0.06902406,0.02707196,0.02293728,0.01483379,0.002807782
43,03/04/2018 01:40,1.043102,85.84327,0.7007858,7.24624,0.0,3.440948,2.662397,1936.285,5.431222,12.5,6.851532,16.52805,0.0883895,4.0,0.1139387,0.06902406,0.02707196,0.02293728,0.01483379
44,03/04/2018 02:00,1.88971,145.2737,0.0,7.966368,0.0,3.4468,3.62727,891.8237,5.419999,12.5,6.839999,16.05764,0.0347339,4.0,0.0883895,0.1139387,0.06902406,0.02707196,0.02293728
45,03/04/2018 02:20,2.010381,146.7062,0.0,8.184237,0.0,3.451054,2.929741,412.9848,5.419999,12.5,6.839999,20.07855,0.002183777,4.0,0.0347339,0.0883895,0.1139387,0.06902406,0.02707196
46,03/04/2018 05:20,1.386431,90.62731,0.0,7.369511,0.0,0.07000001,0.9021443,260.1777,4.095303,12.42074,6.839999,20.37171,0.004387526,4.0,0.002183777,0.0347339,0.0883895,0.1139387,0.06902406
47,03/04/2018 05:40,1.330857,88.15968,0.0,6.08,0.0,3.125462,2.665232,1018.31,4.006148,12.5,6.854252,17.74343,0.009910949,4.0,0.004387526,0.002183777,0.0347339,0.0883895,0.1139387
48,03/04/2018 06:00,1.695005,120.839,0.0,5.681124,0.0,4.341009,4.508747,1018.31,4.006023,12.5,6.86,18.01394,0.002796985,4.0,0.009910949,0.004387526,0.002183777,0.0347339,0.0883895
49,03/04/2018 06:20,184.2609,13544.53,0.000308334,5.69686,0.0,4.251045,2.772679,667.3755,4.28305,12.43615,6.878133,19.06816,0.004589904,4.0,0.002796985,0.009910949,0.004387526,0.002183777,0.0347339
50,03/04/2018 06:40,142.7715,10345.98,0.0045,5.720392,0.0,3.871585,2.6142,1627.726,4.774208,12.28845,6.877982,16.9777,0.02084171,4.0,0.004589904,0.002796985,0.009910949,0.004387526,0.002183777
51,03/04/2018 07:00,135.2475,9569.021,0.0,6.120862,0.0,3.664275,2.838189,1152.878,5.132226,12.2,6.86,16.36365,0.01335151,4.0,0.02084171,0.004589904,0.002796985,0.009910949,0.004387526
52,03/04/2018 07:20,14.80916,979.5601,0.0,6.371404,0.0,3.497498,3.47959,1123.801,5.346941,12.2,6.86,15.80421,0.009136468,4.0,0.01335151,0.02084171,0.004589904,0.002796985,0.009910949
53,03/04/2018 07:40,0.7173404,42.97289,0.0,6.508409,0.0,3.462081,5.513675,1018.31,5.330469,12.2,6.86,16.42163,0.005976179,4.0,0.009136468,0.01335151,0.02084171,0.004589904,0.002796985
54,03/04/2018 08:00,0.5583884,32.467,0.0,6.595654,0.0,3.450103,5.537308,328.1771,5.330001,12.2,6.869611,19.53095,0.000987987,4.0,0.005976179,0.009136468,0.01335151,0.02084171,0.004589904
55,03/04/2018 11:00,1.637498,164.1035,0.0,5.694245,0.0,2.132505,1.377127,753.9719,4.0,12.4,6.86,20.01943,0.002208263,4.0,0.000987987,0.005976179,0.009136468,0.01335151,0.02084171
56,03/04/2018 11:20,1.644576,178.006,0.000418334,5.094692,0.0,4.292771,2.653196,737.8954,4.0,12.4,6.871729,19.15025,0.001905254,4.0,0.002208263,0.000987987,0.005976179,0.009136468,0.01335151
57,03/04/2018 11:40,22.83449,2670.433,6.25e-05,5.237782,0.0,4.250961,3.866793,611.4691,4.006458,12.42383,6.88,18.69842,0.002202668,4.0,0.001905254,0.002208263,0.000987987,0.005976179,0.009136468
58,03/04/2018 12:00,307.7713,36088.83,1.576329,5.126431,0.0,4.016681,1.034406,1333.124,4.573979,12.5,6.89573,19.50397,0.00916034,4.0,0.002202668,0.001905254,0.002208263,0.000987987,0.005976179
59,03/04/2018 12:20,226.6275,26177.13,3.845397,5.057715,0.0,3.649991,1.783641,3197.942,5.316524,12.55715,6.935452,17.20165,0.1250555,4.0,0.00916034,0.002202668,0.001905254,0.002208263,0.000987987
60,03/04/2018 12:40,183.9557,20878.27,5.272442,5.482556,0.0,3.309379,1.800714,2778.914,5.914437,12.68913,6.922856,16.80395,0.2035394,4.0,0.1250555,0.00916034,0.002202668,0.001905254,0.002208263
61,03/04/2018 13:00,1.382788,118.758,5.611115,6.107452,0.0,3.090602,2.127015,2523.282,6.098229,12.7,6.938818,15.93954,0.2337244,4.0,0.2035394,0.1250555,0.00916034,0.002202668,0.001905254
62,03/04/2018 13:20,1.635804,150.417,3.377373,7.13406,0.0,3.15249,2.312198,1918.979,6.089999,12.7,6.878551,15.28024,0.1966069,4.0,0.2337244,0.2035394,0.1250555,0.00916034,0.002202668
63,03/04/2018 13:40,2.523155,230.9082,1.637122,8.077948,0.0,3.146807,2.34757,1774.886,6.089999,12.77021,6.838405,15.14995,0.1876541,4.0,0.1966069,0.2337244,0.2035394,0.1250555,0.00916034
64,03/04/2018 14:00,3.639486,350.4603,0.3801256,8.952116,0.0,3.149303,2.734322,1265.403,6.089999,12.8,6.805411,16.58547,0.09455629,4.0,0.1876541,0.1966069,0.2337244,0.2035394,0.1250555
65,03/04/2018 14:20,2.888699,266.3666,0.0,9.565392,0.0,3.131297,2.661469,464.3603,6.089999,12.87137,6.79,18.12202,0.02187187,4.0,0.09455629,0.1876541,0.1966069,0.2337244,0.2035394
66,03/04/2018 17:00,0.0,0.0,0.0,9.665926,0.0,0.0,0.8364636,55.05819,4.193303,12.93757,6.799688,20.60325,0.000601099,4.0,0.02187187,0.09455629,0.1876541,0.1966069,0.2337244
67,03/04/2018 17:20,1.985283,172.9651,0.004232666,8.415087,0.0,2.547043,2.023294,934.194,3.998288,13.0,6.809999,17.91681,0.01847743,4.0,0.000601099,0.02187187,0.09455629,0.1876541,0.1966069
68,03/04/2018 17:40,51.66822,5206.245,0.0,7.606688,0.0,4.343555,2.396389,613.1049,4.016591,13.0,6.809999,17.003,0.01246341,4.0,0.01847743,0.000601099,0.02187187,0.09455629,0.1876541
69,03/04/2018 18:00,251.128,25554.65,1.67205,7.129998,0.0,4.015093,0.8119476,1719.529,4.603593,12.97371,6.841376,17.73705,0.09507729,4.0,0.01246341,0.01847743,0.000601099,0.02187187,0.09455629
70,03/04/2018 18:20,172.1925,17657.12,2.788099,6.898187,0.0,3.73369,1.746958,3510.241,5.126929,12.9,6.876532,17.5204,0.2188367,4.0,0.09507729,0.01246341,0.01847743,0.000601099,0.02187187
71,03/04/2018 18:40,114.2804,11695.13,3.029377,7.29898,0.0,3.445541,1.740093,3350.472,5.581226,12.9,6.88,16.89091,0.2761595,4.0,0.2188367,0.09507729,0.01246341,0.01847743,0.000601099
72,03/04/2018 19:00,1.71735,141.0393,2.223075,8.039512,0.0,3.363554,2.175576,2554.942,5.662291,12.91004,6.872617,16.11981,0.246497,4.0,0.2761595,0.2188367,0.09507729,0.01246341,0.01847743
73,03/04/2018 19:20,2.888016,249.3184,0.6583136,9.001197,0.0,3.42388,2.648872,1710.488,5.65369,12.93848,6.834311,17.28161,0.1252564,4.0,0.246497,0.2761595,0.2188367,0.09507729,0.01246341
74,03/04/2018 19:40,4.394909,394.3134,0.0,9.748145,0.0,3.376284,2.75674,769.0957,5.651719,12.9,6.820001,17.01971,0.04842185,4.0,0.1252564,0.246497,0.2761595,0.2188367,0.09507729
75,03/04/2018 20:00,2.385019,193.918,0.0,9.978045,0.0,3.312151,2.453157,448.9274,5.650001,12.9,6.820001,19.4799,0.01581791,4.0,0.04842185,0.1252564,0.246497,0.2761595,0.2188367
76,03/04/2018 23:00,1.647793,160.0346,0.06349716,8.237091,0.0,2.109637,1.679662,870.7116,4.0,12.9,6.841384,17.93514,0.02895261,4.0,0.01581791,0.04842185,0.1252564,0.246497,0.2761595
77,03/04/2018 23:20,1.388021,118.5004,0.0471455,7.40882,0.0,4.336642,2.38455,738.1465,4.0,12.9,6.839999,16.76409,0.01292783,4.0,0.02895261,0.01581791,0.04842185,0.1252564,0.246497
78,03/04/2018 23:40,222.0424,23659.51,0.6223166,7.34445,0.0,4.144318,1.662932,382.0635,4.299485,12.9,6.853685,17.83691,0.007043566,4.0,0.01292783,0.02895261,0.01581791,0.04842185,0.1252564
79,04/04/2018 00:00,168.4575,17930.25,2.309586,6.770291,0.0,3.799677,1.209851,3856.195,4.901348,12.98602,6.891336,18.08909,0.1652491,4.0,0.007043566,0.01292783,0.02895261,0.01581791,0.04842185
80,04/04/2018 00:20,112.275,11877.63,2.694598,6.963576,0.0,3.518814,1.77583,3471.666,5.299966,13.0,6.900001,17.43353,0.1629563,4.0,0.1652491,0.007043566,0.01292783,0.02895261,0.01581791
81,04/04/2018 00:40,28.97732,2973.905,1.971766,7.629725,0.0,3.352436,1.945403,2943.048,5.495653,13.0,6.898333,16.84959,0.1912408,4.0,0.1629563,0.1652491,0.007043566,0.01292783,0.02895261
82,04/04/2018 01:00,0.7652743,65.47735,0.4479745,8.661966,0.0,3.330621,2.594578,1724.157,5.481368,13.0,6.874551,16.04479,0.1143988,4.0,0.1912408,0.1629563,0.1652491,0.007043566,0.01292783
83,04/04/2018 01:20,2.509752,236.0597,0.0,9.391866,0.0,3.341245,2.994711,732.1204,5.480001,13.0,6.849999,16.09385,0.03859752,4.0,0.1143988,0.1912408,0.1629563,0.1652491,0.007043566
84,04/04/2018 01:40,2.769275,258.122,0.0,9.534265,0.0,3.370174,2.899285,638.8712,5.480001,13.0,6.849999,18.07688,0.01844281,4.0,0.03859752,0.1143988,0.1912408,0.1629563,0.1652491
85,04/04/2018 04:40,144.2942,13425.96,0.5330139,6.965591,0.0,3.499251,1.539143,1563.441,4.476866,12.89443,6.884263,18.04768,0.02201664,4.0,0.01844281,0.03859752,0.1143988,0.1912408,0.1629563
86,04/04/2018 05:00,119.0807,10871.29,0.6729928,6.562992,0.0,3.857518,2.261581,2315.951,4.819177,12.76752,6.896307,16.62173,0.01324271,4.0,0.02201664,0.01844281,0.03859752,0.1143988,0.1912408
87,04/04/2018 05:20,97.12337,8709.361,0.1286536,7.132047,0.0,3.627853,2.643276,1667.181,5.171524,12.7,6.88,16.06998,0.01418442,4.0,0.01324271,0.02201664,0.01844281,0.03859752,0.1143988
88,04/04/2018 05:40,0.2579039,17.90105,0.0,7.608686,0.0,3.524342,3.942507,1018.31,5.227753,12.7,6.88,15.61556,0.007637256,4.0,0.01418442,0.01324271,0.02201664,0.01844281,0.03859752
89,04/04/2018 06:00,1.639433,114.5622,0.0,7.771245,0.0,3.530399,5.526729,888.2162,5.22,12.7,6.893762,16.6745,0.003738356,4.0,0.007637256,0.01418442,0.01324271,0.02201664,0.01844281
90,04/04/2018 09:00,2.008876,105.7271,0.0,7.323993,0.0,0.0,1.154662,565.4374,4.017915,12.7,6.895113,19.19555,0.0131989,4.0,0.003738356,0.007637256,0.01418442,0.01324271,0.02201664
91,04/04/2018 09:20,2.636534,153.3001,0.0,6.348688,6.097136,3.638216,2.363003,737.6627,4.009956,12.7,6.885826,17.4381,0.007098962,4.0,0.0131989,0.003738356,0.007637256,0.01418442,0.01324271
92,04/04/2018 09:40,1.50995,84.1367,0.0,5.483324,18.497,4.316317,3.589719,737.8013,4.003961,12.72597,6.898695,17.43213,0.004224556,4.0,0.007098962,0.0131989,0.003738356,0.007637256,0.01418442
93,04/04/2018 10:00,2.508373,178.4431,0.0,5.449999,6.749324,4.316888,4.39533,933.9209,3.996487,12.8,6.903111,18.33385,0.003533525,4.0,0.004224556,0.007098962,0.0131989,0.003738356,0.007637256
94,04/04/2018 10:20,250.6743,23752.68,0.0,5.449999,0.0,4.170743,1.963723,323.1547,4.342239,12.8,6.927659,19.32685,0.01036068,4.0,0.003533525,0.004224556,0.007098962,0.0131989,0.003738356
95,04/04/2018 10:40,185.352,18557.17,0.0,5.449999,0.0,3.702075,1.725685,2931.754,5.017264,12.8,6.949998,17.46914,0.1416915,4.0,0.01036068,0.003533525,0.004224556,0.007098962,0.0131989
96,04/04/2018 11:00,97.16078,10065.94,0.0,5.449999,0.06353185,3.456144,1.758419,2519.194,5.452975,12.80806,6.940891,15.77722,0.2022647,4.0,0.1416915,0.01036068,0.003533525,0.004224556,0.007098962
97,04/04/2018 11:20,2.089201,219.2237,0.0,5.449999,0.0362806,3.298461,2.315892,2102.462,5.511085,12.92106,6.918925,15.50536,0.2168983,4.0,0.2022647,0.1416915,0.01036068,0.003533525,0.004224556
98,04/04/2018 11:40,2.143296,185.6312,0.0,5.449999,0.0,3.280752,2.232402,1951.316,5.510001,13.0,6.871463,15.31963,0.2296744,4.0,0.2168983,0.2022647,0.1416915,0.01036068,0.003533525
99,04/04/2018 12:00,2.5092,235.6218,0.7646286,11.88376,0.0,3.318925,2.637016,1495.174,5.510001,13.01058,6.82148,15.47144,0.1695688,4.0,0.2296744,0.2168983,0.2022647,0.1416915,0.01036068
100,04/04/2018 12:20,4.897109,513.285,0.1451539,14.95854,0.0,3.344798,2.717443,884.9337,5.510001,13.1,6.794908,17.8707,0.05385361,4.0,0.1695688,0.2296744,0.2168983,0.2022647,0.1416915
101,04/04/2018 12:40,0.508774,47.34161,0.0,15.4841,0.0,3.35703,1.507449,70.48726,5.510001,13.10266,6.808006,18.63206,0.004057386,4.0,0.05385361,0.1695688,0.2296744,0.2168983,0.2022647
102,04/04/2018 15:20,289.9583,34222.1,7.832108,9.150537,0.016058,2.706375,1.129641,2636.858,5.601032,13.1,6.980407,20.36796,0.001944774,4.0,0.004057386,0.05385361,0.1695688,0.2296744,0.2168983
103,04/04/2018 15:40,136.7609,15968.99,8.92147,8.866655,0.03478125,3.215026,1.732666,3328.578,6.075072,13.1,6.945793,17.90051,0.03521989,4.0,0.001944774,0.004057386,0.05385361,0.1695688,0.2296744
104,04/04/2018 16:00,7.590913,758.1926,8.211393,9.816458,0.6027508,3.067128,1.90646,2747.658,6.279609,13.1,6.953874,16.1128,0.1358251,4.0,0.03521989,0.001944774,0.004057386,0.05385361,0.1695688
105,04/04/2018 16:20,1.979203,188.2267,6.421185,11.18836,0.01428165,3.097201,2.212623,2527.372,6.279391,13.1,6.912344,15.45403,0.2185541,4.0,0.1358251,0.03521989,0.001944774,0.004057386,0.05385361
106,04/04/2018 16:40,2.441733,211.6093,4.607561,12.50723,0.0,3.088368,2.251329,1804.213,6.278357,13.1,6.871633,14.99932,0.1837826,4.0,0.2185541,0.1358251,0.03521989,0.001944774,0.004057386
107,04/04/2018 17:00,3.960824,381.0221,2.774616,13.85303,0.0,3.087763,2.382452,1988.199,6.279973,13.1,6.820994,15.3168,0.2260368,4.0,0.1837826,0.2185541,0.1358251,0.03521989,0.001944774
108,04/04/2018 17:20,1.134617,98.63931,1.063621,15.1414,0.0,3.032306,1.48131,510.3463,6.273606,13.17801,6.793353,18.85202,0.03936541,4.0,0.2260368,0.1837826,0.2185541,0.1358251,0.03521989
109,04/04/2018 19:40,11.122,406.7262,0.3700069,14.57734,0.0,0.3367762,0.9054894,130.0403,4.347397,13.1,6.787069,19.75099,0.06766497,4.0,0.03936541,0.2260368,0.1837826,0.2185541,0.1358251
110,04/04/2018 20:00,795.7109,50855.76,2.646956,11.57095,0.2085517,1.605955,2.141821,2145.396,5.509654,12.88405,6.827099,17.48024,1.262035,4.0,0.06766497,0.03936541,0.2260368,0.1837826,0.2185541
111,04/04/2018 20:20,120.8077,7563.562,4.76275,8.795794,0.5600001,3.152816,2.07589,2523.282,6.762176,12.70675,6.860786,15.81251,1.120498,4.0,1.262035,0.06766497,0.03936541,0.2260368,0.1837826
112,04/04/2018 20:40,4.775678,218.5076,3.084976,10.19338,0.268758,3.24276,2.331189,1741.418,6.78,12.7,6.827535,14.61303,0.6950415,4.0,1.120498,1.262035,0.06766497,0.03936541,0.2260368
113,04/04/2018 21:00,1.387125,72.36594,1.177589,11.54933,0.4161049,3.111829,2.480386,1273.494,6.78,12.7,6.767245,14.76482,0.4474127,4.0,0.6950415,1.120498,1.262035,0.06766497,0.03936541
114,05/04/2018 00:00,0.0,0.0,0.09000002,11.44681,0.0,0.0,0.8798132,60.40809,4.007475,12.7,6.75,19.88969,0.01129877,4.0,0.4474127,0.6950415,1.120498,1.262035,0.06766497
115,05/04/2018 00:20,339.2981,25392.54,1.753885,8.342156,0.0,3.261077,1.80262,3085.825,4.55761,12.7,6.791154,17.93582,0.6690328,4.0,0.01129877,0.4474127,0.6950415,1.120498,1.262035
116,05/04/2018 00:40,173.9852,13274.03,2.342362,8.10587,0.0,3.646208,1.817892,3049.591,5.174988,12.78871,6.818696,16.94119,0.5137725,4.0,0.6690328,0.01129877,0.4474127,0.6950415,1.120498
117,05/04/2018 01:00,34.69567,2662.25,1.929771,8.961432,0.0,3.403565,1.836345,2523.282,5.47829,12.8,6.836529,16.65738,0.3670992,4.0,0.5137725,0.6690328,0.01129877,0.4474127,0.6950415
118,05/04/2018 01:20,1.703876,109.5026,0.332239,10.27775,0.0,3.3987,2.769219,1058.328,5.480001,12.8,6.805737,16.8915,0.1340247,4.0,0.3670992,0.5137725,0.6690328,0.01129877,0.4474127
119,05/04/2018 05:00,146.391,11368.75,1.27055,5.55129,1.65389,4.252053,1.854378,1724.241,4.32003,12.60727,6.849999,18.89574,0.02867297,4.0,0.1340247,0.3670992,0.5137725,0.6690328,0.01129877
120,05/04/2018 05:20,95.43585,7337.859,0.802416,6.029667,0.0,4.129667,2.463523,1671.132,4.617607,12.59912,6.834813,16.70165,0.001188418,4.0,0.02867297,0.1340247,0.3670992,0.5137725,0.6690328
121,05/04/2018 05:40,2.369994,140.4688,0.06694035,7.013367,0.0,4.020782,3.50248,1018.31,4.735388,12.52496,6.820001,16.70594,0.003636627,4.0,0.001188418,0.02867297,0.1340247,0.3670992,0.5137725
122,05/04/2018 06:00,1.387436,88.10323,0.0,7.312946,0.0,4.006944,5.389961,990.0231,4.73977,12.5023,6.831158,17.69625,0.008682319,4.0,0.003636627,0.001188418,0.02867297,0.1340247,0.3670992
123,05/04/2018 06:20,1.009073,68.28837,0.0,7.338138,0.0,3.939313,3.680459,152.7175,4.737863,12.50041,6.839999,20.53977,0.000403012,4.0,0.008682319,0.003636627,0.001188418,0.02867297,0.1340247
124,05/04/2018 06:40,1.00001,65.8802,0.0,7.331205,0.0,3.976651,2.264313,198.2382,4.731542,12.5,6.839872,20.77906,0.001636321,4.0,0.000403012,0.008682319,0.003636627,0.001188418,0.02867297
