Date,Influent_tot,Inflow_lane1,COD_in,Ntot_in,NH4_in
-,m^3/d,m^3/d,gCOD/m^3,gN/m^3,gNH4-N/m^3
22.09.2014 12:00:00,147011,24533,,,
23.09.2014 12:00:00,95801,15484,165,28.7,21
24.09.2014 12:00:00,121857,20332,,,
25.09.2014 12:00:00,98856,16707,,,
26.09.2014 12:00:00,83029,13890,186,27.8,21.8
27.09.2014 12:00:00,75101,12715,,,
28.09.2014 12:00:00,69633,11702,,,
29.09.2014 12:00:00,73327,12117,,,
30.09.2014 12:00:00,82092,13733,208,31.5,25.1
01.10.2014 12:00:00,104223,17516,,,
02.10.2014 12:00:00,72939,12316,,,
03.10.2014 12:00:00,70949,11913,,,
04.10.2014 12:00:00,89110,14877,,,
05.10.2014 12:00:00,116198,19517,,,
06.10.2014 12:00:00,84959,14199,192,28.6,21.2
07.10.2014 12:00:00,105568,17632,,,
08.10.2014 12:00:00,87314,14683,,,
09.10.2014 12:00:00,73191,12270,,,
10.10.2014 12:00:00,71298,11864,,,
11.10.2014 12:00:00,94995,15832,159,29.2,22.7
12.10.2014 12:00:00,71719,11902,,,
13.10.2014 12:00:00,145095,24209,,,
14.10.2014 12:00:00,97361,16374,,,
15.10.2014 12:00:00,99672,16686,,,
16.10.2014 12:00:00,81899,13692,,,
17.10.2014 12:00:00,86832,14501,186,30.8,24.4
18.10.2014 12:00:00,73674,12279,,,
19.10.2014 12:00:00,69040,11557,,,
20.10.2014 12:00:00,112439,18801,,,
21.10.2014 12:00:00,169103,28193,,,
22.10.2014 12:00:00,158983,26641,,,
23.10.2014 12:00:00,103013,17172,162,27.5,19.3
24.10.2014 12:00:00,91943,15445,,,
25.10.2014 12:00:00,91002,15158,,,
26.10.2014 12:00:00,80198,13453,148,27.6,21.6
27.10.2014 12:00:00,81868,13705,,,
28.10.2014 12:00:00,80065,13423,,,
29.10.2014 12:00:00,76570,12772,,,
30.10.2014 12:00:00,74849,12496,,,
31.10.2014 12:00:00,73796,12347,225,40.5,30
01.11.2014 12:00:00,67648,11274,,,
02.11.2014 12:00:00,65692,10957,,,
03.11.2014 12:00:00,74607,12481,,,
04.11.2014 12:00:00,76878,12909,,,
05.11.2014 12:00:00,190372,32595,,,
06.11.2014 12:00:00,155028,26483,148,19.4,13
07.11.2014 12:00:00,103716,17436,,,
08.11.2014 12:00:00,87231,14786,,,
09.11.2014 12:00:00,80269,13702,,,
10.11.2014 12:00:00,85510,14582,209,29.4,24.1
11.11.2014 12:00:00,82087,13458,,,
12.11.2014 12:00:00,136011,22774,,,
13.11.2014 12:00:00,109430,18497,,,
14.11.2014 12:00:00,93709,15887,,,
15.11.2014 12:00:00,141081,23673,123,21.8,15.9
16.11.2014 12:00:00,160283,26709,,,
17.11.2014 12:00:00,144445,23987,,,
18.11.2014 12:00:00,115332,19282,154,25.9,18.8
19.11.2014 12:00:00,99132,16805,,,
20.11.2014 12:00:00,92186,15514,,,
21.11.2014 12:00:00,88011,14982,,,
22.11.2014 12:00:00,81945,13877,,,
23.11.2014 12:00:00,77222,13161,,,
24.11.2014 12:00:00,80315,13504,,,
25.11.2014 12:00:00,77916,13264,216,40.3,31.9
26.11.2014 12:00:00,76542,12879,,,
27.11.2014 12:00:00,75275,12729,,,
28.11.2014 12:00:00,73779,12553,,,
29.11.2014 12:00:00,69371,11729,,,
30.11.2014 12:00:00,66896,11180,,,
01.12.2014 12:00:00,73092,12353,274,40.8,36
02.12.2014 12:00:00,69137,11509,,,
03.12.2014 12:00:00,68430,11652,,,
04.12.2014 12:00:00,69217,11675,,,
05.12.2014 12:00:00,68477,11466,224,40.8,32.8
06.12.2014 12:00:00,65571,10980,,,
07.12.2014 12:00:00,61375,10218,,,
08.12.2014 12:00:00,72654,12117,,,
09.12.2014 12:00:00,93949,15679,,,
10.12.2014 12:00:00,75665,12734,231,38.7,33.3
11.12.2014 12:00:00,70518,11819,,,
12.12.2014 12:00:00,69585,11674,,,
13.12.2014 12:00:00,64120,10723,,,
14.12.2014 12:00:00,61402,10308,,,
15.12.2014 12:00:00,65675,11048,,,
16.12.2014 12:00:00,90839,15334,,,
17.12.2014 12:00:00,113480,19098,207,30.3,23.2
18.12.2014 12:00:00,103570,17388,,,
19.12.2014 12:00:00,93125,15642,,,
20.12.2014 12:00:00,74771,12623,201,35.6,29.1
21.12.2014 12:00:00,67035,11239,,,
22.12.2014 12:00:00,71607,11988,,,
23.12.2014 12:00:00,68755,11457,,,
24.12.2014 12:00:00,66009,11058,,,
25.12.2014 12:00:00,65761,11039,,,
26.12.2014 12:00:00,61471,10241,,,
27.12.2014 12:00:00,108753,18230,,,
28.12.2014 12:00:00,72621,12125,,,
29.12.2014 12:00:00,69773,11658,276,39.9,30
30.12.2014 12:00:00,74572,12530,,,
31.12.2014 12:00:00,79043,13204,,,
01.01.2015 12:00:00,65941,10859,,,
02.01.2015 12:00:00,96482,16086,,,
03.01.2015 12:00:00,157587,26277,,,
04.01.2015 12:00:00,140034,23262,,,
05.01.2015 12:00:00,97818,16506,,,
06.01.2015 12:00:00,86837,14657,240,32.8,24.3
07.01.2015 12:00:00,81586,13757,,,
08.01.2015 12:00:00,78777,13188,,,
09.01.2015 12:00:00,77407,12794,229,38.2,29.5
10.01.2015 12:00:00,73274,12184,,,
11.01.2015 12:00:00,123238,20454,,,
12.01.2015 12:00:00,84372,14023,,,
13.01.2015 12:00:00,79927,13344,,,
14.01.2015 12:00:00,111429,18616,,,
15.01.2015 12:00:00,81123,13532,213,35.8,27.9
16.01.2015 12:00:00,104033,17389,,,
17.01.2015 12:00:00,176979,29451,,,
18.01.2015 12:00:00,102652,17129,,,
19.01.2015 12:00:00,92556,15540,197,33.7,25.1
20.01.2015 12:00:00,102521,17127,,,
21.01.2015 12:00:00,84071,14051,,,
22.01.2015 12:00:00,78481,13105,,,
23.01.2015 12:00:00,73411,12225,,,
24.01.2015 12:00:00,73316,12161,198,41.7,31.6
25.01.2015 12:00:00,81097,13488,,,
26.01.2015 12:00:00,75226,12492,,,
27.01.2015 12:00:00,93753,15651,,,
28.01.2015 12:00:00,87765,14651,236,28.8,20.4
29.01.2015 12:00:00,175213,29238,,,
30.01.2015 12:00:00,141388,23638,,,
31.01.2015 12:00:00,106844,17880,,,
01.02.2015 12:00:00,96723,16106,,,
02.02.2015 12:00:00,90627,15149,,,
03.02.2015 12:00:00,81405,13583,222,37.4,28.1
04.02.2015 12:00:00,77109,12844,,,
05.02.2015 12:00:00,74222,12323,,,
06.02.2015 12:00:00,72558,12119,,,
07.02.2015 12:00:00,67200,11207,,,
08.02.2015 12:00:00,64912,10791,217,41.4,32.5
09.02.2015 12:00:00,68503,11381,,,
10.02.2015 12:00:00,67304,11274,,,
11.02.2015 12:00:00,65955,10942,,,
12.02.2015 12:00:00,64798,10717,,,
13.02.2015 12:00:00,65811,10896,255,43.8,34
14.02.2015 12:00:00,70064,11697,,,
15.02.2015 12:00:00,68821,11521,,,
16.02.2015 12:00:00,68350,11422,,,
17.02.2015 12:00:00,68680,11494,,,
18.02.2015 12:00:00,67878,11352,,,
19.02.2015 12:00:00,69433,11557,264,43.6,32.9
20.02.2015 12:00:00,70400,11743,,,
21.02.2015 12:00:00,82587,13824,,,
22.02.2015 12:00:00,101727,16948,,,
23.02.2015 12:00:00,120154,20039,,,
24.02.2015 12:00:00,94005,15679,,,
25.02.2015 12:00:00,84927,14168,237,37.7,28
26.02.2015 12:00:00,78195,13051,,,
27.02.2015 12:00:00,142896,23755,,,
28.02.2015 12:00:00,93303,15591,177,30.9,22.6
01.03.2015 12:00:00,98059,16360,,,
02.03.2015 12:00:00,161254,26852,,,
03.03.2015 12:00:00,121799,20255,,,
04.03.2015 12:00:00,124607,20786,,,
05.03.2015 12:00:00,94082,15655,206,33.5,22.8
06.03.2015 12:00:00,87047,14499,,,
07.03.2015 12:00:00,79729,13341,,,
08.03.2015 12:00:00,73901,12285,,,
09.03.2015 12:00:00,76944,12807,,,
10.03.2015 12:00:00,74248,12414,,,
11.03.2015 12:00:00,72391,12075,274,41.5,31
12.03.2015 12:00:00,78122,13117,,,
13.03.2015 12:00:00,71435,11903,,,
14.03.2015 12:00:00,67569,11282,,,
15.03.2015 12:00:00,64774,10951,221,43.8,33.2
16.03.2015 12:00:00,68786,11383,,,
17.03.2015 12:00:00,66901,11002,,,
18.03.2015 12:00:00,67115,11308,,,
19.03.2015 12:00:00,66547,11197,,,
20.03.2015 12:00:00,66378,11187,275,46.7,35.6
21.03.2015 12:00:00,135809,22676,,,
22.03.2015 12:00:00,78524,13178,,,
23.03.2015 12:00:00,72908,12356,248,40.5,31.5
24.03.2015 12:00:00,69755,11848,,,
25.03.2015 12:00:00,95100,15948,,,
26.03.2015 12:00:00,92698,15480,,,
27.03.2015 12:00:00,93881,15750,,,
28.03.2015 12:00:00,71279,11936,202,37.3,29.7
29.03.2015 12:00:00,77443,12912,,,
30.03.2015 12:00:00,93438,15676,,,
31.03.2015 12:00:00,96004,15961,,,
01.04.2015 12:00:00,86025,14394,223,35.8,26.6
02.04.2015 12:00:00,112941,18846,,,
03.04.2015 12:00:00,100732,16813,,,
04.04.2015 12:00:00,167743,24979,,,
05.04.2015 12:00:00,136158,20995,,,
06.04.2015 12:00:00,98933,16463,,,
07.04.2015 12:00:00,92192,15416,,,
08.04.2015 12:00:00,84875,14228,,,
09.04.2015 12:00:00,80868,13586,204,41.5,28.7
10.04.2015 12:00:00,78927,13171,,,
11.04.2015 12:00:00,73255,12313,,,
12.04.2015 12:00:00,68687,11579,,,
13.04.2015 12:00:00,75295,12631,240,29.3,24.6
14.04.2015 12:00:00,73343,12256,,,
15.04.2015 12:00:00,71805,11871,,,
16.04.2015 12:00:00,71697,11834,,,
17.04.2015 12:00:00,123662,20675,,,
18.04.2015 12:00:00,105412,17619,,,
19.04.2015 12:00:00,74931,12764,,,
20.04.2015 12:00:00,78436,13134,260,40.3,28.3
21.04.2015 12:00:00,74676,12616,,,
22.04.2015 12:00:00,73212,12466,,,
23.04.2015 12:00:00,72434,12096,,,
24.04.2015 12:00:00,71411,11938,251,41.9,33.6
25.04.2015 12:00:00,87011,14508,,,
26.04.2015 12:00:00,66681,11103,,,
27.04.2015 12:00:00,108222,19896,,,
28.04.2015 12:00:00,148323,27411,,,
29.04.2015 12:00:00,102933,18439,204,30.3,22.4
30.04.2015 12:00:00,95151,16165,,,
01.05.2015 12:00:00,189936,31633,,,
02.05.2015 12:00:00,192880,33070,,,
03.05.2015 12:00:00,191261,33254,88,12,5.6
04.05.2015 12:00:00,178424,33222,,,
05.05.2015 12:00:00,180120,33111,,,
06.05.2015 12:00:00,180214,33139,,,
07.05.2015 12:00:00,182174,28469,,,
08.05.2015 12:00:00,182352,30593,,,
09.05.2015 12:00:00,149693,24982,101,15.2,10.3
10.05.2015 12:00:00,125305,20876,,,
11.05.2015 12:00:00,121240,20122,,,
12.05.2015 12:00:00,109768,18308,132,22,17.1
13.05.2015 12:00:00,104877,17640,,,
14.05.2015 12:00:00,116752,19524,,,
15.05.2015 12:00:00,161103,27057,,,
16.05.2015 12:00:00,123446,20856,,,
17.05.2015 12:00:00,107053,18053,,,
18.05.2015 12:00:00,107396,18039,,,
19.05.2015 12:00:00,147440,24618,,,
20.05.2015 12:00:00,178275,29764,101,20.6,10.5
21.05.2015 12:00:00,165945,27891,,,
22.05.2015 12:00:00,120966,20566,,,
23.05.2015 12:00:00,105838,17906,,,
24.05.2015 12:00:00,92803,15806,,,
25.05.2015 12:00:00,138620,23169,127,21.3,14.5
26.05.2015 12:00:00,174644,29430,,,
27.05.2015 12:00:00,128000,21667,,,
28.05.2015 12:00:00,111030,18576,,,
29.05.2015 12:00:00,113773,18995,159,27.9,19.4
30.05.2015 12:00:00,95569,15994,,,
31.05.2015 12:00:00,86385,14442,,,
01.06.2015 12:00:00,90407,15061,,,
02.06.2015 12:00:00,88829,14842,200,29.3,21.2
03.06.2015 12:00:00,85750,14422,,,
04.06.2015 12:00:00,80807,13470,,,
05.06.2015 12:00:00,87975,14668,,,
06.06.2015 12:00:00,106428,17692,,,
07.06.2015 12:00:00,130517,21831,,,
08.06.2015 12:00:00,129141,22666,178,26.9,18.9
09.06.2015 12:00:00,111383,18749,,,
10.06.2015 12:00:00,102188,17105,,,
11.06.2015 12:00:00,98620,16510,,,
12.06.2015 12:00:00,95100,16302,,,
13.06.2015 12:00:00,88430,14841,145,31.7,26.4
14.06.2015 12:00:00,130415,21688,,,
15.06.2015 12:00:00,199171,33193,,,
16.06.2015 12:00:00,165877,27596,118,17.9,11.6
17.06.2015 12:00:00,122074,20198,,,
18.06.2015 12:00:00,149757,24883,,,
19.06.2015 12:00:00,162753,27271,,,
20.06.2015 12:00:00,154439,25778,,,
21.06.2015 12:00:00,147932,24652,,,
22.06.2015 12:00:00,147765,27064,,,
23.06.2015 12:00:00,176752,32643,,,
24.06.2015 12:00:00,148808,27194,127,18.1,13
25.06.2015 12:00:00,126458,21877,,,
26.06.2015 12:00:00,112949,19582,138,24.7,18.3
27.06.2015 12:00:00,107457,17965,,,
28.06.2015 12:00:00,94357,15871,,,
29.06.2015 12:00:00,94727,16933,,,
30.06.2015 12:00:00,92347,15828,,,
01.07.2015 12:00:00,91657,15642,183,29.2,24.2
02.07.2015 12:00:00,90549,15166,,,
03.07.2015 12:00:00,89308,14971,,,
04.07.2015 12:00:00,84436,14156,,,
05.07.2015 12:00:00,82056,13775,,,
06.07.2015 12:00:00,86164,14330,,,
07.07.2015 12:00:00,105352,17738,,,
08.07.2015 12:00:00,88277,14625,192,28.1,21.9
09.07.2015 12:00:00,73815,12253,,,
10.07.2015 12:00:00,72615,12263,,,
11.07.2015 12:00:00,66420,11160,,,
12.07.2015 12:00:00,62284,10379,174,36,29.2
13.07.2015 12:00:00,67755,11306,,,
14.07.2015 12:00:00,66807,11415,,,
15.07.2015 12:00:00,66375,11259,,,
16.07.2015 12:00:00,66491,11297,,,
17.07.2015 12:00:00,65958,10998,,,
18.07.2015 12:00:00,69948,11745,165,35.2,28.8
19.07.2015 12:00:00,93472,15730,,,
20.07.2015 12:00:00,69140,11778,,,
21.07.2015 12:00:00,66183,10094,140,33.7,30.9
22.07.2015 12:00:00,99281,16730,,,
23.07.2015 12:00:00,70684,11980,,,
24.07.2015 12:00:00,83560,13969,,,
25.07.2015 12:00:00,62406,10446,,,
26.07.2015 12:00:00,90546,15195,,,
27.07.2015 12:00:00,68369,11442,,,
28.07.2015 12:00:00,61518,10356,184,34.6,28.1
29.07.2015 12:00:00,110003,18359,,,
30.07.2015 12:00:00,71532,11981,,,
31.07.2015 12:00:00,64447,10802,,,
01.08.2015 12:00:00,91276,15272,,,
02.08.2015 12:00:00,60805,10142,,,
03.08.2015 12:00:00,63592,10661,207,34.5,26.6
04.08.2015 12:00:00,62901,10597,,,
05.08.2015 12:00:00,61573,10356,,,
06.08.2015 12:00:00,62207,10468,,,
07.08.2015 12:00:00,62059,10489,233,36.9,30.2
08.08.2015 12:00:00,59758,10103,,,
09.08.2015 12:00:00,66055,11128,,,
10.08.2015 12:00:00,102529,17246,,,
11.08.2015 12:00:00,69870,11650,215,33.9,26.9
12.08.2015 12:00:00,64835,10781,,,
13.08.2015 12:00:00,64397,10679,,,
14.08.2015 12:00:00,90378,15126,,,
15.08.2015 12:00:00,60000,10000,,,
16.08.2015 12:00:00,60000,10000,119,21.6,14.9
17.08.2015 12:00:00,79612,13421,,,
18.08.2015 12:00:00,87090,14654,,,
19.08.2015 12:00:00,155671,26022,,,
20.08.2015 12:00:00,93289,15645,,,
21.08.2015 12:00:00,84124,13860,,,
22.08.2015 12:00:00,76253,12824,162,31.2,26
23.08.2015 12:00:00,89526,14947,,,
24.08.2015 12:00:00,116353,19422,,,
25.08.2015 12:00:00,81436,13591,,,
26.08.2015 12:00:00,74657,12535,,,
27.08.2015 12:00:00,72689,12132,314,35.9,29.1
28.08.2015 12:00:00,70941,11784,,,
29.08.2015 12:00:00,66760,11084,,,
30.08.2015 12:00:00,63620,10551,,,
31.08.2015 12:00:00,68761,11470,,,
01.09.2015 12:00:00,114695,19224,167,27.5,20.5
02.09.2015 12:00:00,71802,12058,,,
03.09.2015 12:00:00,75875,12649,,,
04.09.2015 12:00:00,70732,11732,,,
05.09.2015 12:00:00,69401,11572,,,
06.09.2015 12:00:00,60826,10062,,,
07.09.2015 12:00:00,65032,10729,,,
08.09.2015 12:00:00,63643,10500,247,36.8,29.3
09.09.2015 12:00:00,61528,10102,,,
10.09.2015 12:00:00,59801,9531,,,
11.09.2015 12:00:00,60874,10107,,,
12.09.2015 12:00:00,56961,9501,,,
13.09.2015 12:00:00,70034,11786,222,39.4,30.8
14.09.2015 12:00:00,81483,13588,,,
15.09.2015 12:00:00,62739,10607,,,
16.09.2015 12:00:00,63364,10623,,,
17.09.2015 12:00:00,90493,15037,,,
18.09.2015 12:00:00,81149,13471,191,34.3,25.9
19.09.2015 12:00:00,65263,10735,,,
20.09.2015 12:00:00,65869,10838,,,
21.09.2015 12:00:00,70644,11613,,,
22.09.2015 12:00:00,86068,14518,,,
23.09.2015 12:00:00,101038,16813,189,31.2,23
24.09.2015 12:00:00,72118,11996,,,
25.09.2015 12:00:00,67623,11241,,,
26.09.2015 12:00:00,63221,10492,191,38.4,32.6
27.09.2015 12:00:00,60022,9948,,,
28.09.2015 12:00:00,62931,10463,,,
29.09.2015 12:00:00,62722,10424,,,
30.09.2015 12:00:00,61925,10300,246,41.9,32.8
01.10.2015 12:00:00,60853,10230,,,
02.10.2015 12:00:00,58471,9867,,,
03.10.2015 12:00:00,57271,9705,,,
04.10.2015 12:00:00,75478,12733,,,
05.10.2015 12:00:00,64450,10845,,,
06.10.2015 12:00:00,98059,16458,186,30.9,23.4
07.10.2015 12:00:00,82367,13768,,,
08.10.2015 12:00:00,64468,10789,,,
09.10.2015 12:00:00,64462,10793,,,
10.10.2015 12:00:00,61280,10209,,,
11.10.2015 12:00:00,59023,9846,207,43.3,35.9
12.10.2015 12:00:00,64701,10907,,,
13.10.2015 12:00:00,115858,19525,,,
14.10.2015 12:00:00,71713,12019,,,
15.10.2015 12:00:00,114832,19313,,,
16.10.2015 12:00:00,70964,11932,213,35.2,28.2
17.10.2015 12:00:00,62597,10452,,,
